date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:43:22	1736/1736	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22aeedc2098842feacba00c3882a8685b4%22	https://www.freemanjiang.com/robots.txt		(from )
20:43:23	47054/47054	---MCZ	200	added ('OK')	text/html	etag:W/%22e3jc99meaq10ax%22	https://www.freemanjiang.com/	C:/My%20Web%20Sites/Website/www.freemanjiang.com/index.html	(from )
20:43:23	143216/143216	---MCZ	200	added ('OK')	font/otf	etag:W/%2251eda46ce3b50a4472d8a3a0f24d2f7c%22	https://www.freemanjiang.com/_next/static/media/0370663d4bd2e672-s.p.otf	C:/My%20Web%20Sites/Website/www.freemanjiang.com/_next/static/media/0370663d4bd2e672-s.p.otf	(from https://www.freemanjiang.com/)
20:43:23	144332/144332	---MCZ	200	added ('OK')	font/otf	etag:W/%220c527d7f5ef9b5f346b69321f87e4ad9%22	https://www.freemanjiang.com/_next/static/media/0a6a5ab0b5191b30-s.p.otf	C:/My%20Web%20Sites/Website/www.freemanjiang.com/_next/static/media/0a6a5ab0b5191b30-s.p.otf	(from https://www.freemanjiang.com/)
20:43:24	193424/193424	---MCZ	200	added ('OK')	font/otf	etag:W/%22ca0e4efd5f80301908b16267ded69948%22	https://www.freemanjiang.com/_next/static/media/10b591b2b2b58bc9-s.p.otf	C:/My%20Web%20Sites/Website/www.freemanjiang.com/_next/static/media/10b591b2b2b58bc9-s.p.otf	(from https://www.freemanjiang.com/)
20:43:24	191680/191680	---MCZ	200	added ('OK')	font/otf	etag:W/%2285e0896d155d87e99ea0db155bcfd224%22	https://www.freemanjiang.com/_next/static/media/1551b789c151d96d-s.p.otf	C:/My%20Web%20Sites/Website/www.freemanjiang.com/_next/static/media/1551b789c151d96d-s.p.otf	(from https://www.freemanjiang.com/)
20:43:25	196276/196276	---MCZ	200	added ('OK')	font/otf	etag:W/%2216e5c4b88cda3f49d941607f205775ce%22	https://www.freemanjiang.com/_next/static/media/16a36e9b3e44fc25-s.p.otf	C:/My%20Web%20Sites/Website/www.freemanjiang.com/_next/static/media/16a36e9b3e44fc25-s.p.otf	(from https://www.freemanjiang.com/)
20:43:25	144360/144360	---MCZ	200	added ('OK')	font/otf	etag:W/%22068f7e5271c3ddec4c0ffecaddf2d47e%22	https://www.freemanjiang.com/_next/static/media/1757b862aaeb611a-s.p.otf	C:/My%20Web%20Sites/Website/www.freemanjiang.com/_next/static/media/1757b862aaeb611a-s.p.otf	(from https://www.freemanjiang.com/)
20:43:25	193764/193764	---MCZ	200	added ('OK')	font/otf	etag:W/%22d8c164f24d2c906a4145ba26a87421d7%22	https://www.freemanjiang.com/_next/static/media/18152d5a5b7acb7e-s.p.otf	C:/My%20Web%20Sites/Website/www.freemanjiang.com/_next/static/media/18152d5a5b7acb7e-s.p.otf	(from https://www.freemanjiang.com/)
20:43:26	144580/144580	---MCZ	200	added ('OK')	font/otf	etag:W/%222303a0be7761887bfa0f444cd31a09b5%22	https://www.freemanjiang.com/_next/static/media/36528e7bf6d6afbb-s.p.otf	C:/My%20Web%20Sites/Website/www.freemanjiang.com/_next/static/media/36528e7bf6d6afbb-s.p.otf	(from https://www.freemanjiang.com/)
20:43:26	146920/146920	---MCZ	200	added ('OK')	font/otf	etag:W/%2210f76d98aa9a7b45794ca57e582957c0%22	https://www.freemanjiang.com/_next/static/media/4c7940212deeab04-s.p.otf	C:/My%20Web%20Sites/Website/www.freemanjiang.com/_next/static/media/4c7940212deeab04-s.p.otf	(from https://www.freemanjiang.com/)
20:43:26	28356/28356	---M--	200	added ('OK')	font/woff2	etag:%22ef6cefb32024deac234e82f932a95cbd%22	https://www.freemanjiang.com/_next/static/media/569ce4b8f30dc480-s.p.woff2	C:/My%20Web%20Sites/Website/www.freemanjiang.com/_next/static/media/569ce4b8f30dc480-s.p.woff2	(from https://www.freemanjiang.com/)
20:43:27	142872/142872	---MCZ	200	added ('OK')	font/otf	etag:W/%22b607ea80ef79b1f802a56ed7c8b3520c%22	https://www.freemanjiang.com/_next/static/media/56bf4d47e702b6a6-s.p.otf	C:/My%20Web%20Sites/Website/www.freemanjiang.com/_next/static/media/56bf4d47e702b6a6-s.p.otf	(from https://www.freemanjiang.com/)
20:43:27	190192/190192	---MCZ	200	added ('OK')	font/otf	etag:W/%22a1e155de39170e23e884eec0b1584098%22	https://www.freemanjiang.com/_next/static/media/697ace9e2b6be03d-s.p.otf	C:/My%20Web%20Sites/Website/www.freemanjiang.com/_next/static/media/697ace9e2b6be03d-s.p.otf	(from https://www.freemanjiang.com/)
20:43:28	145572/145572	---MCZ	200	added ('OK')	font/otf	etag:W/%2200368f0c0f15d8e0d2b71f27b9b65bb3%22	https://www.freemanjiang.com/_next/static/media/793b1dfe95af5e18-s.p.otf	C:/My%20Web%20Sites/Website/www.freemanjiang.com/_next/static/media/793b1dfe95af5e18-s.p.otf	(from https://www.freemanjiang.com/)
20:43:28	31288/31288	---M--	200	added ('OK')	font/woff2	etag:%22da83d5f06d825c5ae65b7cca706cb312%22	https://www.freemanjiang.com/_next/static/media/93f479601ee12b01-s.p.woff2	C:/My%20Web%20Sites/Website/www.freemanjiang.com/_next/static/media/93f479601ee12b01-s.p.woff2	(from https://www.freemanjiang.com/)
20:43:28	142796/142796	---MCZ	200	added ('OK')	font/otf	etag:W/%22ebcfe992f82db833a4e94c9ea4477607%22	https://www.freemanjiang.com/_next/static/media/af0a6a4a41f61be0-s.p.otf	C:/My%20Web%20Sites/Website/www.freemanjiang.com/_next/static/media/af0a6a4a41f61be0-s.p.otf	(from https://www.freemanjiang.com/)
